"Sign In","Iniciar Sesión"
ACTIVEWEAR,activewear
FOOTWEAR,Calzado
shop mens,Comprar para hombre
shop womens,Comprar para mujer
learn more,Saber más
ACCESSORIES,Accesorios
THE STORYBOARD,Nuestro blog
Find our diverse and varied stories,"Descubre nuestras noticias, novedades y consejos"
SUBSCRIBE TO OUR MAILING LIST,Suscríbete a nuestra newsletter
Get all the latest news, trends and offers straight to your inbox,Recibe las últimas noticias, tendencias y ofertas
HELP,Ayuda
About Us,Sobre nosotros
Contact Us,Contacta con nosotros
FAQ,Preguntas frecuentes (FAQ)
IZAS club,Izas club
Warranty,Garantía
Terms of Use,Términos y condiciones de uso
Privacy Policy,Política de privacidad
Sizing Charts,Guía de tallas
ORDERS,Pedidos
MY ORDERS,Mi Pedidos
My orders,Mi Pedidos
Track your order,Seguimiento de tu pedido
Delivery,Entrega
RETURNS,Devoluciones
Returns,Devoluciones
GET SOCIAL,Síguenos en nuestras redes sociales
OTHER COLORS,Otros colores
PLEASE SELECT A SIZE TO SEE YOUR SHIPPING TIME,Por favor selecciona una talla para ver la fecha de entrega aproximada
"Features","Características"
TECHNOLOGY,Tecnología
Leave a Review,Deja una opinión
EXISTING CUSTOMER,Usuario ya registrado
continue to payment,Proceder al pago
WAYS TO PAY,Formas de pago
ORDER SUMMARY,Resumen del pedido
REVIEW & PAYMENTS,Revisiones & Pagos
COMPLETE,Completado
"You must be 18 or over to use Izas","Tienes que ser mayor de 18 años para comprar en Izas"
CONTACT PREFERENCES,Preferencias de contacto
Tell us what emails you’d like,Cuéntanos qué emails te gustaría recibir
Signing up with you social is super quick. No need to remember extra passwords,Registrarse con tu red social es muy rápido. No es necesario contraseñas adicionales
We’d never share any of your data or post anything on your account,Nunca compartiremos tus datos ni publicaremos nada de su cuenta
Discounts and sales,Descuentos y ofertas
New gear,Nuevo equipo
Your exclusives,Tus exclusivos
Izas partners,Distribuidores Izas
By creating your account you agree to our Terms and Conditions & Privacy Policy,Al crear la cuenta aceptas nuestros Términos y Condiciones de la Política de Privacidad.
Track your order,Seguimiento de tu pedido
Delivery,Entrega
Returns,Devoluciones
JOIN IZAS,Únete a Izas
Need some help?,¿Necesitas ayuda?
If you are experiencing any technical difficulties when placing an order please contact one of our customer service advisors,"Si tienes dificultades técnicas para realizar un pedido, ponte en contacto con nuestro departamento de Atención al cliente, por favor"
I confirm that I have read the Izas Terms & Conditions and Provacy Policy,Confirmo que he leído los Términos y condiciones de uso y la Política de privacidad de Izas
ORDER CONFIRMATION,Confirmación del pedido
CONFIRMATION,Confirmación
We know you're excited to get your new clothing so here's what to expect,"Ya ha realizado su pedido en nuestra tienda ropa de Montaña Outdoor. En un breve plazo de tiempo podrá disponer de su pedido"
Delivery,Entrega
Expected Delivery,Entrega estimada
Your order # is: ,Tu pedido # es:
We'll email you an order confirmation with details and tracking info.,"Te enviaremos un email con la confirmación de su pedido, detalles y número de seguimiento"
Once it ships, you will recieve a confirmation email with your tracking number,"Una vez que salga de nuestras instalaciones, recibirá un correo electrónico con los datos de envio"
Thank you for shopping with Izas, We appreciate it,¡Gracias por comprar en Izas!
If you are experiencing any technical difficulties when placing an order please contact one of our customer service advisors.,Si experimenta dificultades técnicas al realizar un pedido comuníquese con uno de nuestros asesores de servicio al cliente.
need some helpe ?,¿NECESITAS AYUDA?
EMAIL,CORREO ELECTRÓNICO
I acknowledge I have read and understood the Kilpi Privacy Policy and I consent to the processing of my personal data for marketing and profiling purposes.,Reconozco que he leído y comprendido la Política de privacidad de IZAS OUTDOOR y doy mi consentimiento para el procesamiento de mis datos personales con fines de marketing y creación de perfiles.
CONTINUE TO PAYMENT,ELIGE EL MÉTODO DE PAGO
SHIPPING METHOD,MÉTODO DE ENVÍO
COMPLETE,COMPLETAR
SHIPPING ADDRESS,DIRECCIÓN DE ENVÍO
Shipping Address,DIRECCIÓN DE ENVÍO
CHECKOUT,FINALIZAR PEDIDO
ALREADY REGISTERED,¿YA ESTÁS REGISTRADO
NEW TO IZAS,¿NUEVO EN IZAS
SIGN IN WITH YOUR EMAIL ADDRESS,INICIA SESIÓN CON TU DIRECCIÓN DE CORREO ELECTRÓNICO
login,iniciar sesión
OR,O
SIGN IN WITH,INICIA SESIÓN CON
SIGN UP WITH,REGISTRARTE CON
SIGN UP WITH YOUR EMAIL ADDRESS,REGÍSTRATE CON TU DIRECCIÓN DE CORREO ELECTRÓNICO
By creating your account, you agree to our Terms and Conditions & Privacy Policy,Al crear su cuenta, acepta nuestros Términos y condiciones y Política de privacidad
Keep track of how all,Comprueba el estado de tus pedidos
your orders are progressing,
Create new return requests,Solicita y sigue el estado de una nueva devolución
and follow up on existing returns,
Find answers to FAQs,Encuentra respuestas a preguntas frecuentes
get product advice or get in touch,recibe asesoramiento sobre prodcutos o ponte en contacto con nosotros
About IZAS,Sobre IZAS
How it works,Cómo funciona
Placing an order,Ordenando
View all orders,Ver todos los pedidos
View all returns,Ver todas las devoluciones
View all FAQs,Ver todas las preguntas frecuentes
Update my email or password,Actualizar mi correo electrónico o contraseña
Change default addresses,Cambiar direcciones predeterminadas
Track my reward points and rewards,Seguir mis puntos de recompensa y recompensas
Edit account details,Editar detalles de la cuenta
Change my email preferences,Cambiar mis preferencias de correo electrónico
Edit saved payment cards,Editar tarjetas de pago guardadas
Returns,Devoluciones
Email Preference,Preferencia de correo electrónico
Logout,Cerrar sesión
FREE RETURNS ON ALL YOUR PURCHASES,DEVOLUCIONES GRATUITAS EN TODAS TUS COMPRAS
STORE FINDER,BUSCADOR DE TIENDAS
MY ACCOUNT,MI CUENTA
ACCOUNT,MI CUENTA
HOME,INICIO
LOGIN,INICIAR SESIÓN
MY SAVED ADDRESSES,MIS DIRECCIONES GUARDADAS
ADD NEW ADDRESS,AGREGAR NUEVA DIRECCIÓN
SIZE,TAMAÑO
Size,Talla
QTY,Cantidad
ORDER NO,N º DE PEDIDO
ORDER PLACED,PEDIDO REALIZADO
ORDER STATUS,ESTADO DEL PEDIDO
There are no Returns,No hay devoluciones
Select an order to return,Seleccione un pedido para devolver
Order Status,Estado del pedido
ITEM TO RETURN,ARTÍCULO A VOLVER
Upload files,Subir archivos
Submit Request,Enviar peticion
MY EMAIL PREFERENCES,MIS PREFERENCIAS DE CORREO ELECTRÓNICO
What sports do you want to hear about?,¿De qué deportes quieres escuchar?
WISHLIST,LISTA DE DESEOS
Tick the boxes below to show us which sports you do and don’t want to hear about,Marque las casillas a continuación para mostrarnos qué deportes practica y de los que no quiere saber
Skiing,Esquí
Running,Running
Cycling,Lifestyle
Hiking,Excursionismo
Climbing,Trekking
Kids,Moda infantil
Fashion,Moda
Unsubscribe from all IZAS emails,Darse de baja de todos los correos electrónicos de IZAS
Back,Atrás
SAVE,GUARDAR
VIEW BASKET,TRAMITAR PEDIDO
Find our diverse and varied stories,Aquí encontrarás novedades guías y consejos para disfrutar al máximo de la montaña
SHOP BY,COMPRAR POR
CLEAR ALL,LIMPIAR TODO
SHIPPING : 1-3 WORKING DAYS,ENVÍO: 1-3 DÍAS LABORALES
REVIEWS,RESEÑA
Leave a Review,Agrega una reseña
REGISTER,REGÍSTRATE
Email address*,Correo electrónico*
Email address,Correo electrónico
Flat No/House No/Building No,Piso No / Casa No / Edificio No
ACCOUNT SIGN IN,
login,Iniciar Sesión
Forgot Your Password?,¿Olvidaste tu contraseña?
Register Yourself, Hazte cliente
Hazte cliente, Hazte cliente
If don't have an account yet, Sí Aún no tienes cuenta,
SIGN IN,Registrarse
Man,Hombre
Women,Mujer
Add to Cart,Añadir a la cesta
SHOPPING BAG,CESTA DE LA COMPRA
ORDER SUMMERY,RESUMEN DE LA COMPRA
Shipping & taxes calculated at checkout,Transporte e Impuestos incluidos
REMOVE,ELIMINAR
"Accepted payment methods","Métodos de pago aceptados"
CART,CESTA
OUT OF STOCK,AGOTADO
out of stock,AGOTADO
ACCOUNT SIGNUP,REGISTRO DE CUENTA
BACK TO HOMEPAGE,VOLVER A LA PÁGINA DE INICIO
Thank you for shopping with Izas We appreciate it,Gracias por comprar en Izas Outdoor
Once it ships you will recieve a confirmation email with your tracking number,Una vez que se envíe recibirá un correo electrónico de confirmación con su número de seguimiento
Position,Relevancia
Address Book,MIS DIRECCIONES
OTHER COLORS,OTROS COLORES
Shipping & taxes calculated at checkout,Gastos de envío e impuestos calculados al finalizar la compra
Your order # is: <strong>%1</strong>.,su pedido # es: <strong>%1</strong>.
Subtotal,Total parcial
The account sign-in was incorrect or your account is disabled temporarily Please wait and try again later,El inicio de sesión de la cuenta fue incorrecto o su cuenta está deshabilitada temporalmente. Por favor espere e intente nuevamente más tarde.
Search...,Buscar.…
Search,Buscar
MOST POPULAR POSTS,POST MÁS POPULARES
POPULAR TAGS,ETIQUETA POPULARES
SEARCH NEWS,BUSCAR NOTICIAS
Enter your card details:,Ingrese los detalles de su tarjeta
Use a new card,Use una nueva tarjeta
Your card details are protected using PCI DSS v3.2 security standards.,Los detalles de su tarjeta están protegidos con los estándares de seguridad PCI DSS v3.2
Name on Card,Nombre titular tarjeta
Card Number,Número de la tarjeta
Expiration Date,Fecha de caducidad
Card Verification Number,Número de verificación de tarjeta
What is this?,¿Que es esto?
Save card for future purchases,Guardar tarjeta para futuras compras
Please update your billing address to proceed.,Actualice su dirección de facturación para continuar
IZAS NEWS,blog izas
Waterproofing,Impermeabilidad
Breathability,Transpirabilidad
Warmth,Calor
Cushioning, Amortiguación
Prolonged Use, Uso Prolongado
Use in the city, Uso en la ciudad
You have no orders to request RMA or your orders were placed more than %1 days ago. Please contact customer service., No tiene pedidos para solicitar RMA (Autorización de devolución de mercancía) o sus pedidos se realizaron hace más de 14 días. Por favor póngase en contacto con el servicio al cliente.
Select an order to return, Seleccione un pedido para devolver
Order Date, Fecha Pedido
Customer Name, Nombre del cliente
ITEM TO RETURN, ARTÍCULO A DEVOLVER
this items can not be returned any more, estos artículos no puedes ser devuelto ya
New Return, Nueva Devolución
RMA, Autorización de devolución de mercancía
Order #, Pedido
Status, Estado
View Return, Ver Devolución
View Order, Ver Pedido
There are no Returns, No hay devoluciones
Ordered:, Pedido
Available:, Disponible
This item not allow to return per our return policy., Este artículo no se puede devolver por nuestra política de devolución.
Quantity Return:, Cantidad a devolver
Choose Reason, Elige la razón
Return Reason, Razón de devolución
Choose Condition, Elige la condición
Comments, Comentarios
I agree the policy, Acepto la política
View Our Policy, Ver nuestra política
Order allow to return after, Pedido puede ser devuelto después
