"Sign In","Iniciar Sesión"
ACTIVEWEAR,activewear
FOOTWEAR,Calzado
shop mens,Comprar para hombre
shop womens,Comprar para mujer
learn more,Saber más
ACCESSORIES,Accesorios
THE STORYBOARD,Nuestro blog
Find our diverse and varied stories,"Descubre nuestras noticias, novedades y consejos"
SUBSCRIBE TO OUR MAILING LIST,Suscríbete a nuestra newsletter
Get all the latest news, trends and offers straight to your inbox,Recibe las últimas noticias, tendencias y ofertas
HELP,Ayuda
About Us,Sobre nosotros
Contact Us,Contacta con nosotros
FAQ,Preguntas frecuentes (FAQ)
IZAS club,Izas club
Warranty,Garantía
Terms of Use,Términos y condiciones de uso
Privacy Policy,Política de privacidad
Sizing Charts,Guía de tallas
ORDERS,Pedidos
MY ORDERS,Mi Pedidos
My orders,Mi Pedidos
Track your order,Seguimiento de tu pedido
Delivery,Entrega
RETURNS,Devoluciones
Returns,Devoluciones
GET SOCIAL,Síguenos en nuestras redes sociales
OTHER COLORS,Otros colores
PLEASE SELECT A SIZE TO SEE YOUR SHIPPING TIME,Por favor selecciona una talla para ver la fecha de entrega aproximada
USE FOR,SE USA PARA
FEATURES,Características
TECHNOLOGY,TELAS
Leave a Review,Deja una opinión
EXISTING CUSTOMER,Usuario ya registrado
continue to payment,Proceder al pago
WAYS TO PAY,Formas de pago
ORDER SUMMARY,Resumen del pedido
REVIEW & PAYMENTS,Revisiones & Pagos
COMPLETE,Completado
You need to 16 or sover to use Izas,Tienes que ser mayor de 18 años para comprar en Izas
CONTACT PREFERENCES,Preferencias de contacto
Tell us what emails you’d like,Cuéntanos qué emails te gustaría
Signing up with you social is super quick. No need to remember extra passwords,Registrarse con tu red social es muy rápido. No es necesario contraseñas adicionales
We’d never share any of your data or post anything on your account,Nunca compartiremos tus datos ni publicaremos nada de su cuenta
Discounts and sales,Descuentos y ofertas
New gear,Nuevo equipo
Your exclusives,Tus exclusivos
Izas partners,Distribuidores Izas
By creating your account you agree to our Terms and Conditions & Privacy Policy,Al crear la cuenta aceptas nuestros Términos y Condiciones de la Política de Privacidad.
Track your order,Seguimiento de tu pedido
Delivery,Entrega
Returns,Devoluciones
JOIN IZAS,Únete a Izas
Need some help?,¿Necesitas ayuda?
If you are experiencing any technical difficulties when placing an order please contact one of our customer service advisors,"Si tienes dificultades técnicas para realizar un pedido, ponte en contacto con nuestro departamento de Atención al cliente, por favor"
I confirm that I have read the Izas Terms & Conditions and Provacy Policy,Confirmo que he leído los Términos y condiciones de uso y la Política de privacidad de Izas
ORDER CONFIRMATION,Confirmación del pedido
CONFIRMATION,Confirmación
We know you're excited to get your new clothing so here's what to expect,"Sabemos que estás deseando recibir tu pedido, de modo que esto es lo que tendrás que esperar"
Delivery,Entrega
Expected Delivery,Entrega estimada
Your order # is: ,Tu pedido # es:
We'll email you an order confirmation with details and tracking info.,"Te enviaremos un email con la confirmación, los detalles y el número de seguimiento de tu pedido"
Once it ships, you will recieve a confirmation email with your tracking number,"Una vez la mercacía salga de nuestras instalaciones, recibirás un email de confirmación con el número de seguimiento del envío"
Thank you for shopping with Izas, We appreciate it,¡Gracias por comprar en Izas!
If you are experiencing any technical difficulties when placing an order please contact one of our customer service advisors.,Si experimenta dificultades técnicas al realizar un pedido comuníquese con uno de nuestros asesores de servicio al cliente.
need some helpe ?,necesito ayuda ?
EMAIL,CORREO ELECTRÓNICO
I acknowledge I have read and understood the Kilpi Privacy Policy and I consent to the processing of my personal data for marketing and profiling purposes.,Reconozco que he leído y comprendido la Política de privacidad de Kilpi y doy mi consentimiento para el procesamiento de mis datos personales con fines de marketing y creación de perfiles.
CONTINUE TO PAYMENT,CONTINUAR AL PAGO
SHIPPING METHOD,MÉTODO DE ENVÍO
COMPLETE,COMPLETAR
SHIPPING ADDRESS,DIRECCIÓN DE ENVÍO
CHECKOUT,REVISA
ALREADY REGISTERED,¿YA REGISTRADO
NEW TO IZAS,¿NUEVO EN IZAS
GUEST,INVITADO
GUEST ACCESS,ACCESO COMO INVITADO
LOGIN, INICIAR SESIÓN
Access,Acceso
Create Account,Crear Cuenta
SIGN IN WITH YOUR EMAIL ADDRESS,INICIE SESIÓN CON SU DIRECCIÓN DE CORREO ELECTRÓNICO
login,iniciar sesión
OR,O
SIGN IN WITH,INICIA SESIÓN CON
SIGN UP WITH,REGISTRARTE CON
SIGN UP WITH YOUR EMAIL ADDRESS,REGÍSTRESE CON SU DIRECCIÓN DE CORREO ELECTRÓNICO
By creating your account, you agree to our Terms and Conditions & Privacy Policy,Al crear su cuenta, acepta nuestros Términos y condiciones y Política de privacidad
Keep track of how all,Lleve un registro de cómo todos
your orders are progressing,tus pedidos están progresando
Create new return requests,Crear nuevas solicitudes de devolución
and follow up on existing returns,y hacer un seguimiento de las devoluciones existentes
Find answers to FAQs,Encuentre respuestas a preguntas frecuentes
get product advice or get in touch,obtener asesoramiento sobre productos o ponerse en contacto
About IZAS,Sobre IZAS
How it works,Cómo funciona
Placing an order,Ordenando
View all orders,Ver todos los pedidos
View all returns,Ver todas las devoluciones
View all FAQs,Ver todas las preguntas frecuentes
Update my email or password,Actualizar mi correo electrónico o contraseña
Change default addresses,Cambiar direcciones predeterminadas
Track my reward points and rewards,Seguir mis puntos de recompensa y recompensas
Edit account details,Editar detalles de la cuenta
Change my email preferences,Cambiar mis preferencias de correo electrónico
Edit saved payment cards,Editar tarjetas de pago guardadas
Returns,Devoluciones
Email Preference,Preferencia de correo electrónico
Logout,Cerrar sesión
FREE RETURNS ON ALL YOUR PURCHASES,DEVOLUCIONES GRATUITAS EN TODAS SUS COMPRAS
STORE FINDER,BUSCADOR DE TIENDAS
MY ACCOUNT,MI CUENTA
HOME,INICIO
LOGIN,INICIAR SESIÓN
MY SAVED ADDRESSES,MIS DIRECCIONES GUARDADAS
ADD NEW ADDRESS,AGREGAR NUEVA DIRECCIÓN
SIZE,TAMAÑO
Size,Talla
QTY,Cantidad
ORDER NO,N º DE PEDIDO
ORDER PLACED,PEDIDO REALIZADO
ORDER STATUS,ESTADO DEL PEDIDO
There are no Returns,No hay devoluciones
Select an order to return,Seleccione un pedido para devolver
Order Status,Estado del pedido
ITEM TO RETURN,ARTÍCULO A VOLVER
Upload files,Subir archivos
Submit Request,Enviar peticion
MY EMAIL PREFERENCES,MIS PREFERENCIAS POR CORREO ELECTRÓNICO
What sports do you want to hear about?,¿De qué deportes quieres escuchar?
WISHLIST,LISTA DE DESEOS
Tick the boxes below to show us which sports you do and don’t want to hear about,Marque las casillas a continuación para mostrarnos qué deportes practica y de los que no quiere saber
Skiing,Esquí
Running,Corriendo
Cycling,Ciclismo
Hiking,Excursionismo
Climbing,Alpinismo
Kids,Niños
Fashion,Moda
Unsubscribe from all IZAS emails,Darse de baja de todos los correos electrónicos de IZAS
Back,Atrás
SAVE,SALVAR
VIEW BASKET,VIENDO BASQUET
Find our diverse and varied stories,Encuentra nuestras diversas y variadas historias
SHOP BY,COMPRAR POR
CLEAR ALL,LIMPIAR TODO
SHIPPING : 1-3 WORKING DAYS,ENVÍO: 1-3 DÍAS LABORABLES
REVIEWS,RESEÑA
Leave a Review,Agrega una reseña
REGISTER,REGÍSTRATE
Email address*,Correo electrónico*
Email address,Correo electrónico
Flat No/House No/Building No,Piso No / Casa No / Edificio No
ACCOUNT SIGN IN,
login,Iniciar Sesión
FORGOT YOUR PASSWORD,¿Has olvidado tu contraseña?
SIGN IN,Registrarse
Man,Hombre
Women,Mujer
Add to Cart,Añadir a la cesta
SHOPPING BAG,CESTA DE LA COMPRA
ORDER SUMMERY,RESUMEN DE LA COMPRA
Shipping & taxes calculated at checkout,Transporte e Impuestos incluidos
REMOVE,ELIMINAR
We accept,Aceptamos
CART,CESTA
OUT OF STOCK,AGOTADO
out of stock,AGOTADO
ACCOUNT SIGNUP,REGISTRO DE CUENTA
