Número;Origen;Nombre del socio a mostrar en la factura;Nota albaran;Referencia;Agente/Nombre;Comercial;Fecha de Factura/Recibo;Líneas de factura/Producto;Líneas de factura/Producto/Nombre;Líneas de factura/Producto/Color;Líneas de factura/Producto/Valores de atributo;Líneas de factura/Producto/Atributos del producto;Líneas de factura/Producto/sku;Líneas de factura/Producto/Código de barras;Líneas de factura/Producto/Código HS;Líneas de factura/Producto/Categoría de producto;Líneas de factura/Producto/Extra Categories;Líneas de factura/Producto/Género;Líneas de factura/Cantidad;Líneas de factura/Precio unitario;Líneas de factura/Subtotal;Contacto;Contacto/Código de cliente;Contacto/ID;Contacto/NIF;Contacto/Nombre del padre;Equipo de ventas
;;CLIENTE AMAZON INTRACOMUNITARIO;028-0228784-4177160;;AMAZON INT;;2020-04-07;;SOAR;TURQUOISE;S;;IWPSH00585TQS;8434076191706;;P;SH;W;1;;18,17;CLIENTE AMAZON INTRACOMUNITARIO;43003236;;;;Marketplace Intracomunitario
;;CLIENTE AMAZON INTRACOMUNITARIO;028-0228784-4177160;;AMAZON INT;;2020-04-07;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;8,22;CLIENTE AMAZON INTRACOMUNITARIO;43003236;;;;Marketplace Intracomunitario
;;CLIENTE AMAZON INTRACOMUNITARIO;303-7978813-2249901;;AMAZON INT;;2020-04-07;;WHEELER;VIOLET/BLACK;L;;IWLPF00565VI/BKL;8434076357270;;L;PF;W;1;;14,04;CLIENTE AMAZON INTRACOMUNITARIO;43003236;;;;Marketplace Intracomunitario
;;CLIENTE AMAZON INTRACOMUNITARIO;303-7978813-2249901;;AMAZON INT;;2020-04-07;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;8,22;CLIENTE AMAZON INTRACOMUNITARIO;43003236;;;;Marketplace Intracomunitario
;;CLIENTE AMAZON NACIONAL;405-2592804-5193133;;AMAZON;;2020-04-07;;WHEELER;FUXIA/BLACK;M;;IWLPF00565FX/BKM;8434076034980;;L;PF;W;1;;7,41;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;405-2592804-5193133;;AMAZON;;2020-04-07;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;402-9273248-4641124;;AMAZON;;2020-04-07;;BALTIC;DARK GREY/BLACK;XL;;IMPPA00784DG/BKXL;8434076275185;;P;PA;M;1;;29,12;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;403-9157637-0802760;;AMAZON;;2020-04-07;;BELL;BLACK/RED;XL;;IMSTS00980BK/RDXL;8434076317236;;U;TS;M;1;;9,08;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;403-9157637-0802760;;AMAZON;;2020-04-07;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;404-6491835-0885917;;AMAZON;;2020-04-07;;WHEELER;VIOLET/BLACK;3XL;;IWLPF00565VI/BK3XL;8434076357256;;L;PF;W;1;;7,77;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;404-6491835-0885917;;AMAZON;;2020-04-07;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;404-7133782-5844321;;AMAZON;;2020-04-07;;WHEELER;BLACK/FUXIA;M;;IWLPF00565BK/FXM;8434076357126;;L;PF;W;1;;11,07;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;404-7133782-5844321;;AMAZON;;2020-04-07;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;404-9566196-9039537;;AMAZON;;2020-04-07;;PIURA;BLACK;ONE;;IUAAC00464BKONE;8434076055473;;A;PL;U;1;;26,17;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;405-2221359-6448333;;AMAZON;;2020-04-07;;WHEELER;VIOLET/BLACK;L;;IWLPF00565VI/BKL;8434076357270;;L;PF;W;1;;7,41;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;405-2221359-6448333;;AMAZON;;2020-04-07;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;406-0657465-0073114;;AMAZON;;2020-04-07;;GABIN;BLACK/ROYAL;XXL;;IMPPA00878BK/RYXXL;8434076297019;;P;SH;M;1;;23,96;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;406-0657465-0073114;;AMAZON;;2020-04-07;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;406-2279010-7663508;;AMAZON;;2020-04-07;;LEZAT;BLACK/FUXIA;39;;IWFFO00950BK/FX39;8434076311753;;F;BT;W;1;;31,60;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;406-5567931-9772365;;AMAZON;;2020-04-07;;SUTTON;DARK GREY;XL;;IMLPF00352DGXL;8434076030685;;L;PF;M;1;;10,70;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;406-5567931-9772365;;AMAZON;;2020-04-07;;SUTTON;ROYAL;XL;;IMLPF00352RYXL;8434076031194;;L;PF;M;1;;10,70;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;406-5567931-9772365;;AMAZON;;2020-04-07;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;407-5921545-3221144;;AMAZON;;2020-04-07;;WHEELER;VIOLET/BLACK;L;;IWLPF00565VI/BKL;8434076357270;;L;PF;W;1;;7,41;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;407-5921545-3221144;;AMAZON;;2020-04-07;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;408-6418956-6949938;;AMAZON;;2020-04-07;;WHEELER;BLACK/FUXIA;L;;IWLPF00565BK/FXL;8434076357119;;L;PF;W;1;;10,33;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;408-6418956-6949938;;AMAZON;;2020-04-07;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;408-8182285-9783503;;AMAZON;;2020-04-07;;LEZAT;BLACK/FUXIA;39;;IWFFO00950BK/FX39;8434076311753;;F;BT;W;1;;31,60;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;408-7502961-9806769;;AMAZON;;2020-04-07;;ETNA;BLACK/FUXIA;XL;;IWYPD00935BK/FXXL;8434076309866;;Y;PD;W;1;;35,53;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;407-5841602-7948310;;AMAZON;;2020-04-07;;LANGLEY;BEET RED/ORANGE;41;;IWFFO01160BR/OR41;8434076383163;;F;FO;M;1;;27,26;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE WEB NACIONAL;3000001268;;CLIENTE WE;;2020-04-07;;NILSEN;BLACK/ORANGE;44;;IMFFO00627BK/OR44;8434076383392;;F;FO;M;1;;46,27;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
