sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,color,size,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
 IMEPS01935NV/IL,,Default,simple,,"izas_website,uk,en_us,ch",,,,,2,Taxable Goods,"Catalog, Search",,,,,,,,,/i/m/imeps01935nv_il-1.jpg,,/i/m/imeps01935nv_il-1.jpg,,/i/m/imeps01935nv_il-1.jpg,,,,9/12/21 8:44,7/7/23 1:01,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,,,,,"/i/m/imeps01935nv_il-1.jpg,/i/m/imeps01935nv_il-2.jpg",",",,,,,,,,,,,,
 IMJLW01670BL,,Default,simple,,"izas_website,uk,en_us,ch",,,,,2,Taxable Goods,"Catalog, Search",,,,,,,,,/i/m/imjlw01670bl-1.jpg,,/i/m/imjlw01670bl-1.jpg,,/i/m/imjlw01670bl-1.jpg,,,,7/12/21 8:45,7/7/23 1:01,,,,,,,,,,,,,,,,,,reset_cache_image=No,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,,,,,"/i/m/imjlw01670bl-1.jpg,/i/m/imjlw01670bl-2.jpg",",",,,,,,,,,,,,
 IMJLW01670GH,,Default,simple,,"izas_website,uk,en_us,ch",,,,,2,Taxable Goods,"Catalog, Search",,,,,,,,,/i/m/imjlw01670gh-1.jpg,,/i/m/imjlw01670gh-1.jpg,,/i/m/imjlw01670gh-1.jpg,,,,7/12/21 8:45,7/7/23 1:01,,,,,,,,,,,,,,,,,,reset_cache_image=No,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,,,,,"/i/m/imjlw01670gh-1.jpg,/i/m/imjlw01670gh-2.jpg",",",,,,,,,,,,,,
IBLPF00205LL2,,Default,simple,,"base,izas_website,fr,it,uk,en_us,ch",,,,,2,Taxable Goods,Not Visible Individually,12.99,9.99,1/3/22,31/12/22,,,,,,,,,,,,,25/6/20 12:19,7/7/23 1:06,,,,,,,,,,,,,,,,,,dfw_price=12.990000,0,0,1,0,0,1,1,1,0,1,0,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
IBLPF00205LL2,ch,Default,simple,,,,,,,,,,14.289,10.989,25/11/21,28/11/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfw_price=14.289000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBLPF00205LL3,,Default,simple,,"base,izas_website,fr,it,uk,en_us,ch",,,,,2,Taxable Goods,Not Visible Individually,12.99,9.99,1/3/22,31/12/22,,,,,,,,,,,,,25/6/20 12:19,7/7/23 1:06,,,,,,,,,,,,,,,,,,dfw_price=12.990000,0,0,1,0,0,1,1,1,0,1,0,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
IBLPF00205LL3,ch,Default,simple,,,,,,,,,,14.289,10.989,25/11/21,28/11/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfw_price=14.289000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBLPF00205LL4,,Default,simple,,"base,izas_website,fr,it,uk,en_us,ch",,,,,2,Taxable Goods,Not Visible Individually,12.99,9.99,1/3/22,31/12/22,,,,,,,,,,,,,25/6/20 12:19,7/7/23 1:06,,,,,,,,,,,,,,,,,,dfw_price=12.990000,0,0,1,0,0,1,1,1,0,1,0,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
IBLPF00205LL4,ch,Default,simple,,,,,,,,,,14.289,10.989,25/11/21,28/11/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfw_price=14.289000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBLPF00205LL5,,Default,simple,,"base,izas_website,fr,it,uk,en_us,ch",,,,,2,Taxable Goods,Not Visible Individually,12.99,9.99,1/3/22,31/12/22,,,,,,,,,,,,,25/6/20 12:19,7/7/23 1:06,,,,,,,,,,,,,,,,,,dfw_price=12.990000,0,0,1,0,0,1,1,1,0,1,0,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
IBLPF00205LL5,ch,Default,simple,,,,,,,,,,14.289,10.989,25/11/21,28/11/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfw_price=14.289000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBLPF00205RD1,,Default,simple,,"base,izas_website,fr,it,uk,en_us,ch",,,,,2,Taxable Goods,Not Visible Individually,12.99,9.99,1/3/22,31/12/22,,,,,,,,,,,,,25/6/20 12:19,7/7/23 1:06,,,,,,,,,,,,,,,,,,dfw_price=12.990000,0,0,1,0,0,1,1,1,0,1,0,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
IBLPF00205RD1,ch,Default,simple,,,,,,,,,,14.289,10.989,25/11/21,28/11/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfw_price=14.289000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBLPF00205RD2,,Default,simple,,"base,izas_website,fr,it,uk,en_us,ch",,,,,2,Taxable Goods,Not Visible Individually,12.99,9.99,1/3/22,31/12/22,,,,,,,,,,,,,25/6/20 12:19,7/7/23 1:06,,,,,,,,,,,,,,,,,,dfw_price=12.990000,0,0,1,0,0,1,1,1,0,1,0,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
IBLPF00205RD2,ch,Default,simple,,,,,,,,,,14.289,10.989,25/11/21,28/11/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfw_price=14.289000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBLPF00205RD3,,Default,simple,,"base,izas_website,fr,it,uk,en_us,ch",,,,,2,Taxable Goods,Not Visible Individually,12.99,9.99,1/3/22,31/12/22,,,,,,,,,,,,,25/6/20 12:19,7/7/23 1:06,,,,,,,,,,,,,,,,,,dfw_price=12.990000,0,0,1,0,0,1,1,1,0,1,0,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
IBLPF00205RD3,ch,Default,simple,,,,,,,,,,14.289,10.989,25/11/21,28/11/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfw_price=14.289000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBLPF00205RD4,,Default,simple,,"base,izas_website,fr,it,uk,en_us,ch",,,,,2,Taxable Goods,Not Visible Individually,12.99,9.99,1/3/22,31/12/22,,,,,,,,,,,,,25/6/20 12:19,7/7/23 1:06,,,,,,,,,,,,,,,,,,dfw_price=12.990000,0,0,1,0,0,1,1,1,0,1,0,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
IBLPF00205RD4,ch,Default,simple,,,,,,,,,,14.289,10.989,25/11/21,28/11/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfw_price=14.289000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBLPF00205RD5,,Default,simple,,"base,izas_website,fr,it,uk,en_us,ch",,,,,2,Taxable Goods,Not Visible Individually,12.99,9.99,1/3/22,31/12/22,,,,,,,,,,,,,25/6/20 12:19,7/7/23 1:06,,,,,,,,,,,,,,,,,,dfw_price=12.990000,0,0,1,0,0,1,1,1,0,1,0,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
IBLPF00205RD5,ch,Default,simple,,,,,,,,,,14.289,10.989,25/11/21,28/11/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfw_price=14.289000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBLPF00205RY1,,Default,simple,,"base,izas_website,fr,it,uk,en_us,ch",,,,,2,Taxable Goods,Not Visible Individually,12.99,9.99,1/3/22,31/12/22,,,,,,,,,,,,,25/6/20 12:19,7/7/23 1:06,,,,,,,,,,,,,,,,,,dfw_price=12.990000,0,0,1,0,0,1,1,1,0,1,0,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
IBLPF00205RY1,ch,Default,simple,,,,,,,,,,14.289,10.989,25/11/21,28/11/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfw_price=14.289000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBLPF00205RY2,,Default,simple,,"base,izas_website,fr,it,uk,en_us,ch",,,,,2,Taxable Goods,Not Visible Individually,12.99,9.99,1/3/22,31/12/22,,,,,,,,,,,,,25/6/20 12:19,7/7/23 1:06,,,,,,,,,,,,,,,,,,dfw_price=12.990000,0,0,1,0,0,1,1,1,0,1,0,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
