sku;attribute_code;value;store_id
IMFFO00821SM;color;Gris;3
IMFFO00821SM;color;Grey;0
IMFFO00821SM;color;Gris;4
IWWSF01074DP;color;Morado;3
IWWSF01074DP;color;Purple;0
IWWSF01074DP;color;Violet;4
IMSTS00988RY;color;Azul;3
IMSTS00988RY;color;Blue;0
IMSTS00988RY;color;Bleu;4
IMSTS00988LM;color;Verde;3
IMSTS00988LM;color;Green;0
IMSTS00988LM;color;Vert;4
IMSTS00988DG;color;Gris;3
IMSTS00988DG;color;Grey;0
IMSTS00988DG;color;Gris;4
IMSTS00988BM;color;Azul;3
IMSTS00988BM;color;Blue;0
IMSTS00988BM;color;Bleu;4
IMSTS00988BK;color;Negro;3
IMSTS00988BK;color;Black;0
IMSTS00988BK;color;Noir;4
IWSTS01032WH;color;Blanco;3
IWSTS01032WH;color;White;0
IWSTS01032WH;color;Blanc;4
IWSTS01032RD;color;Rojo;3
IWSTS01032RD;color;Red;0
IWSTS01032RD;color;Rouge;4
IWSTS01032LG;color;Verde;3
IWSTS01032LG;color;Green;0
IWSTS01032LG;color;Vert;4
IWSTS01032FX;color;Fucsia;3
IWSTS01032FX;color;Fuxia;0
IWSTS01032FX;color;Fuchsia;4
IWSTS01032BK;color;Negro;3
IWSTS01032BK;color;Black;0
IWSTS01032BK;color;Noir;4
IKSTS01395TQ;color;Turquesa;3
IKSTS01395TQ;color;Turquoise;0
IKSTS01395TQ;color;Turquoise;4
IKSTS01394WH;color;Blanco;3
IKSTS01394WH;color;White;0
IKSTS01394WH;color;Blanc;4
IKSTS01394FX;color;Fucsia;3
IKSTS01394FX;color;Fuxia;0
IKSTS01394FX;color;Fuchsia;4
IKSTS01394BM;color;Azul;3
IKSTS01394BM;color;Blue;0
IKSTS01394BM;color;Bleu;4
IWYPD00933BK/BK;color;Negro;3
IWYPD00933BK/BK;color;Black;0
IWYPD00933BK/BK;color;Noir;4
IWYPD00933AB/YW;color;Azul;3
IWYPD00933AB/YW;color;Blue;0
IWYPD00933AB/YW;color;Bleu;4
IMUTS01181RY;color;Azul;3
IMUTS01181RY;color;Blue;0
