id;item_group_id;title;description;link;image_link;price;sale_price;availability;condition;brand;google_product_category;fb_product_category;gender;color;age_group;size
IMSTB01860SP3XL;IMSTB01860SP;Camiseta De Manga Larga Amarillo Verdoso Hombre Creus M Ls;Camiseta De Manga Larga Negra Para Hombre Creus M Ls;https://www.izas-outdoor.com/camiseta-de-manga-larga-amarillo-verdoso-hombre-creus-m-ls.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imstb01860sp-1.jpg;14,99;0;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Amarillo;adult;3XL
IMSTB01863SP3XL;IMSTB01863SP;Camiseta Sin Mangas Amarilla Verdosa Hombre Creus M Tt;Camiseta Sin Mangas Para Hombre Deportiva Creus M Tt;https://www.izas-outdoor.com/camiseta-sin-mangas-amarilla-verdosa-hombre-creus-m-tt.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imstb01863sp-1.jpg;11,99;0;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Amarillo;adult;3XL
IMJHT01743SP3XL;IMJHT01743SP;Chaqueta Con Capucha Hombre Amarilla Duero M Jacket;Chaqueta Duero M Jacket Para Hombre;https://www.izas-outdoor.com/chaqueta-con-capucha-hombre-amarilla-duero-m-jacket.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imjht01743sp-1.jpg;59,99;39,99;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Amarillo;adult;3XL
IMJ01671IL/NV3XL;IMJHT01671IL/NV;Sudadera Deportiva Amarilla Y Azul Hombre Duero M;Sudadera Deportiva De Hombre Duero, Que No Te Puede Faltar;https://www.izas-outdoor.com/sudadera-deportiva-amarilla-y-azul-hombre-duero-m.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imjht01671il_nv-1.jpg;49,99;29,99;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Amarillo;adult;3XL
IMJHW01943NV/IL3XL;IMJHW01943NV/IL;Chaqueta Polar De Punto Azul Y Amarillo Hombre Noya M;Chaqueta Noya, Para Cualquier Momento En La Montaña, De Gran Calidad;https://www.izas-outdoor.com/chaqueta-polar-de-punto-azul-y-amarillo-hombre-noya-m.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imjhw01943nv_il-1_1.jpg;62,99;0;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Azul;adult;3XL
IMSTB01860WH3XL;IMSTB01860WH;Camiseta De Manga Larga Blanca Hombre Creus M Ls;Camiseta De Manga Larga Negra Para Hombre Creus M Ls;https://www.izas-outdoor.com/camiseta-de-manga-larga-blanca-hombre-creus-m-ls.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imstb01860wh-1.jpg;14,99;0;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Blanco;adult;3XL
IMSTB01863WH3XL;IMSTB01863WH;Camiseta Sin Mangas Blanca Hombre Creus M Tt;Camiseta Sin Mangas Para Hombre Deportiva Creus M Tt;https://www.izas-outdoor.com/camiseta-sin-mangas-blanca-hombre-creus-m-tt.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imstb01863wh-1.jpg;11,99;0;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Blanco;adult;3XL
IMSTB01902WH3XL;IMSTB01902WH;Camiseta De Manga Corta Blanca Hombre Creus M;Camiseta De Manga Corta Negra Para Hombre Ultra-transpirable Creus M;https://www.izas-outdoor.com/camiseta-de-manga-corta-blanca-hombre-creus-m.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imstb01902wh-1.jpg;12,99;0;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Blanco;adult;3XL
IMJ01671WH/BK3XL;IMJHT01671WH/BK;Sudadera Deportiva Blanca Hombre Duero M;Sudadera Deportiva De Hombre Duero, Que No Te Puede Faltar;https://www.izas-outdoor.com/sudadera-deportiva-blanca-hombre-duero-m.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imjht01671wh_bk-1_1.jpg;49,99;29,99;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Blanco;adult;3XL
IMPPA01712CH/OR3XL;IMPPA01712CH/OR;Pantalón De Montaña Gris Y Naranja Hombre Baltic M Fw;Pantalón De Montaña Para Hombre Que Puedes Emplear En Invierno Con El Modelo Baltic M Fw;https://www.izas-outdoor.com/pantalon-de-monta-a-gris-y-naranja-hombre-baltic-m-fw.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imppa01712ch_or-1_1.jpg;69,99;0;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Gris;adult;3XL
IMLPF01587SM3XL;IMLPF01587SM;Chaqueta Forro Polar Gris Oscuro Hombre Padru M;Forro Polar Para Hombre Padru Ii, Con Un Estilo Mucho Más Moderno;https://www.izas-outdoor.com/chaqueta-forro-polar-gris-oscuro-hombre-padru-m.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imlpf01587sm_sm-1.jpg;18,99;0;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Gris;adult;3XL
IMLPF01586SM3XL;IMLPF01586SM;Forro Polar Gris Hombre Sutton M;El Jersey De Forro Polar Sutton M Con Cuello Alto Y Cremallera Es El Ideal Para Abrigarte En La Montaña;https://www.izas-outdoor.com/forro-polar-gris-hombre-sutton-m.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imlpf01586sm_sm-1.jpg;14,99;0;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Gris;adult;3XL
IMPPA01708SM3XL;IMPPA01708SM;Pantalón De Montaña Gris Negro Hombre Invierno Chamonix M Fw;Pantalón De Montaña Para Hombre Chamonix Para Invierno;https://www.izas-outdoor.com/pantalon-de-monta-a-gris-negro-hombre-invierno-chamonix-m-fw.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imppa01708sm-1_1.jpg;59,99;0;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Gris;adult;3XL
IMWSF01956SM3XL;IMWSF01956SM;Chaqueta Softshell Gris Hombre Stratus M;Chaqueta De Softshell Con Capucha Desmontable Stratus M;https://www.izas-outdoor.com/chaqueta-softshell-gris-hombre-stratus-m.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imwsf01956sm-1_1_1.jpg;74,99;0;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Gris;adult;3XL
IMYPD01703SM3XL;IMYPD01703SM;Chaqueta De Fibra Gris Hombre Sindu M;Chaqueta De Fibra Para Hombre Con Capucha Y Tejido Mount-loft Ultraligera Sindu Con Bolsillo Interior Sindu M;https://www.izas-outdoor.com/chaqueta-de-fibra-gris-hombre-sindu-m.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imypd01703sm-1.jpg;69,99;0;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Gris;adult;3XL
IMPPA01719SM3XL;IMPPA01719SM;Pantalón De Trekking Gris Para Hombre Estacional Asgard M Co;pantalón De Montaña Para Hombre Asgard, Diseñado Para Cualquier Estación Del Año.;https://www.izas-outdoor.com/pantalon-de-trekking-gris-para-hombre-estacional-asgard-m-co.html;https://www.izas-outdoor.com/media/catalog/product/i/m/imppa01719sm-1_1.jpg;65,99;0;in stock;new;IZAS;Apparel & Accessories > Clothing;407;male;Gris;adult;3XL
