sku,price,special_price,special_from_date,special_to_date
IKSTS01395TQ8,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395TQ6,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395TQ14,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395TQ12,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395TQ10,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395TQ,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395PP8,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395PP6,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395PP14,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395PP12,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395PP10,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395PP,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395PF8,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395PF6,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395PF14,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395PF12,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395PF10,8.99,7.99,2020-01-07,2020-02-28
IKSTS01395PF,8.99,7.99,2020-01-07,2020-02-28
IKSTS01394WH8,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394WH6,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394WH14,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394WH12,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394WH10,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394WH,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394FX8,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394FX6,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394FX14,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394FX12,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394FX10,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394FX,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394BM8,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394BM6,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394BM14,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394BM12,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394BM10,19.99,17.99,2020-01-07,2020-02-28
IKSTS01394BM,19.99,17.99,2020-01-07,2020-02-28
IWYPD00933TQ/CHXXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933TQ/CHXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933TQ/CHXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933TQ/CHS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933TQ/CHM,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933TQ/CHL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933TQ/CH4XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933TQ/CH3XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933TQ/CH,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933SK/BLXXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933SK/BLXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933SK/BLXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933SK/BLS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933SK/BLM,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933SK/BLL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933SK/BL4XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933SK/BL3XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933SK/BL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RS/SVXXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RS/SVXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RS/SVXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RS/SVS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RS/SVM,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RS/SVL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RS/SV4XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RS/SV3XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RS/SV,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RD/BKXXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RD/BKXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RD/BKXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RD/BKS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RD/BKM,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RD/BKL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RD/BK4XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RD/BK3XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933RD/BK,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933GH/DBXXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933GH/DBXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933GH/DBXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933GH/DBS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933GH/DBM,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933GH/DBL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933GH/DB4XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933GH/DB3XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933GH/DB,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933FX/BKXXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933FX/BKXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933FX/BKXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933FX/BKS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933FX/BKM,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933FX/BKL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933FX/BK4XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933FX/BK3XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933FX/BK,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DP/PPXXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DP/PPXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DP/PPXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DP/PPS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DP/PPM,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DP/PPL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DP/PP4XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DP/PP3XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DP/PP,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DG/BBXXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DG/BBXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DG/BBXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DG/BBS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DG/BBM,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DG/BBL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DG/BB4XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DG/BB3XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933DG/BB,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BR/DGXXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BR/DGXXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BR/DGXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BR/DGXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BR/DGS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BR/DGM,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BR/DGL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BR/DG6XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BR/DG5XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BR/DG4XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BR/DG3XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BR/DG,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BM/CFXXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BM/CFXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BM/CFXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BM/CFS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BM/CFM,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BM/CFL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BM/CF4XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BM/CF3XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BM/CF,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/FXXXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/FXXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/FXXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/FXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/FXM,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/FXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/FX4XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/FX3XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/FX,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/BKXXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/BKXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/BKXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/BKS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/BKM,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/BKL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/BK4XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/BK3XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933BK/BK,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933AB/YWXXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933AB/YWXS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933AB/YWXL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933AB/YWS,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933AB/YWM,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933AB/YWL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933AB/YW4XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933AB/YW3XL,69.99,39.99,2020-01-07,2020-02-28
IWYPD00933AB/YW,69.99,39.99,2020-01-07,2020-02-28
IKYPD00934PP/DP8,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934PP/DP6,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934PP/DP14,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934PP/DP12,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934PP/DP10,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934PP/DP,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934LR/SV8,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934LR/SV6,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934LR/SV14,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934LR/SV12,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934LR/SV10,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934LR/SV,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934FX/BK8,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934FX/BK6,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934FX/BK14,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934FX/BK12,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934FX/BK10,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934FX/BK,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934DP/PP8,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934DP/PP6,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934DP/PP14,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934DP/PP12,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934DP/PP10,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934DP/PP,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934BM/CF8,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934BM/CF6,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934BM/CF14,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934BM/CF12,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934BM/CF10,49.99,44.99,2020-01-07,2020-02-28
IKYPD00934BM/CF,49.99,44.99,2020-01-07,2020-02-28
IUAHD00479BGONE,24.99,15.99,2020-01-07,2020-02-28
IUAHD00479BG,24.99,15.99,2020-01-07,2020-02-28
IMUTS01179WHXXL,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179WHXL,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179WHS,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179WHM,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179WHL,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179WH,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179STXXL,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179STXL,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179STS,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179STM,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179STL,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179ST,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179DGXXL,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179DGXL,24.99,17.99,2020-01-07,2020-02-28
